collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,65536,RING,SIMPLE,24,RING,SIMPLE,0,17.77,2.43,5.93,2.35,3,71.35621834552617,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,32,RING,SIMPLE,0,8.32,2.38,5.89,2.38,3,61.65865384615383,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,40,RING,SIMPLE,0,17.02,2.44,5.99,2.38,3,16.980023501762638,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,48,RING,SIMPLE,0,6.67,2.45,5.87,2.36,3,177.81109445277363,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,56,RING,SIMPLE,0,18.99,2.43,6.13,2.41,3,30.173775671406005,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,1,TREE,LL,0,9.62,1.6,5.55,1.57,3,38.66943866943866,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,2,TREE,LL,0,10.39,2.36,5.76,2.37,3,98.65255052935514,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,4,TREE,LL,0,16.58,3.08,5.75,3.08,3,72.73823884197829,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,4,,,0,14.76,3.0,5.87,3.05,3,42.88617886178862,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,8,TREE,LL,0,14.78,3.47,6.7,3.59,3,37.14479025710421,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,16,TREE,LL,0,19.46,3.39,6.23,4.2,3,13.10380267214798,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,24,TREE,LL,0,17.97,3.34,6.19,4.29,3,21.480244852532007,1024,float,sum,0.09,0.08,0,0
